Bezeichner,Footprint,Stückzahl,Bezeichnung,Anbieter und Referenz
,,,,
C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,47pf50v 08055C470KAT2A,08055C470KAT2A
C29,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,1uf50v GRM32RR71H105KA01K,GRM32RR71H105KA01K
"C1,C6,C3,C10,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,0.1uf-50v-x7r 08055C104K4T2A,08055C104K4T2A
"C14,C11,C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,C100pf500v KERKO-500 100P,KERKO-500 100P
C7,CP_Radial_D6.3mm_P2.50mm,1,220uf16v RD1C227M6L011M18,RD1C227M6L011M18
C4,CP_Radial_D14.0mm_P5.00mm,1,CAMION Photo Flash 100µF 330V,Not used with the DPM
C15,CP_Radial_D8.0mm_P3.50mm,1,220uf35v RD1V227M0811M160,RD1V227M0811M160
C19,CP_Radial_D10.0mm_P5.00mm,1,470uf35v RD1V477M10016100,RD1V477M10016100
,,,,
,,,,
"R13,R12,R6,R7",R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,4,4.7Ohm RC2512JK-7W4R7L,RC2512JK-7W4R7L
"R9,R8,R15,R14",R_1210_3225Metric,4,100k RK73B2ETTD104J,RK73B2ETTD104J
R5,R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,1,1% 1.0Kohm ERJ-U12F1001U,ERJ-U12F1001U
R42,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,560Ohm RK73B2ATTD561J,RK73B2ATTD561J
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10kOhm  WRIS-RSKS 560112120004,WRIS-RSKS 560112120004
R33,R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical,1,4.7kOhm 2W,
R31,R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical,1,0Ohm (bridged),Leg of a big diode
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,200Ohm WRIS-RSKS 560112120015,WRIS-RSKS 560112120015
,,,,
,,,,
"J17,J19",DEGSONDG135T101602P1300AH,2,Degson DG135T-10.16-02P-13-00AH,DG135T-10.16-02P-13-00AH
"J4,J7,J2,J8,J15",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,5,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,JST_XH_S2B-XH-A_1x02
J6,plug terminal 2 pole 5mm grid; female,1,TE Connectivity 1776138-2,1776138-2
J6,plug terminal 2 pole 5mm grid; male,1,TE Connectivity 796641-2,796641-2
,,,,
,,,,
"D20, D21",D_DO-201_P5.08mm_Vertical_AnodeUp,1,200V 5A Schottky SR520,SR520
"D6,D7,D3,D1,D19,D18",D_SMA_Handsoldering,6,60v3ASchottky B360A-E3/61T,B360A-E3/61T
"D14,D15",D_DO-201_P5.08mm_Vertical_AnodeUp,2,1N5379B 110v Zener,1N5379B
,,,,
,,,,
U2,TO255P460X1020X2008-3P,1,voltage regulator 5v 1.5A L7805CV,L7805CV
,,,,
,,,,
"Q3,Q2,Q4,Q1",TO-247-3_Horizontal_TabUp,4,IRFP260NPBF,IRFP260NPBF
Q8,TO-3PB-3_Vertical,1,2SB688,2SB688
"Q7,Q10",TO-3PB-3_Vertical,2,2SD718,2SD718
,,,,
,,,,
D13,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,SM0805UGC,SM0805UGC
D17,D_SMC_Handsoldering,1,TVS Diode 3kw,Not used with the DPM
,,,,
,,,,
VR1,3006P1103,1,3006P-1-103 10k Trimpoti,3006P-1-103
,,,,
,,,,
IC5,SOP254P1016X460-8N,1,6N137S,6N137S
